FID,Prov_ID,Province,Dist_ID,District,Sect_ID,Sector,nightlight_sum,landscan_pop,mpi_headcount,mpi_intensity,mpi,,,,,,,,,,,,,,
130,2,Southern Province,28,Kamonyi,2807,Ngamba,5.692923321,17990,0.261,0.431,0.112,,,,,,,,,,,,,,
131,2,Southern Province,28,Kamonyi,2808,Nyamiyaga,6.304308278,42744,0.334,0.443,0.148,,,,,,,,,,,,,,
132,2,Southern Province,28,Kamonyi,2809,Nyarubaka,12.24641672,30254,0.358,0.441,0.158,,,,,,,,,,,,,,
133,2,Southern Province,28,Kamonyi,2810,Rugarika,37.18505348,39119,0.327,0.437,0.143,,,,,,,,,,,,,,
134,2,Southern Province,28,Kamonyi,2811,Rukoma,13.1158545,35168,0.247,0.428,0.106,,,,,,,,,,,,,,
135,2,Southern Province,28,Kamonyi,2812,Runda,114.4602282,46325,0.28,0.429,0.12,,,,,,,,,,,,,,
136,3,Western Province,31,Karongi,3101,Bwishyura,226.1936851,29085,0.337,0.441,0.149,,,,,,,,,,,,,,
137,3,Western Province,31,Karongi,3102,Gashari,2.730022814,21985,0.362,0.433,0.157,,,,,,,,,,,,,,
138,3,Western Province,31,Karongi,3103,Gishyita,18.17214924,17223,0.435,0.452,0.196,,,,,,,,,,,,,,
139,3,Western Province,31,Karongi,3104,Gitesi,4.44911599,29259,0.452,0.433,0.196,,,,,,,,,,,,,,
140,3,Western Province,31,Karongi,3105,Mubuga,16.71047527,20715,0.433,0.443,0.192,,,,,,,,,,,,,,
141,3,Western Province,31,Karongi,3106,Murambi,11.65347449,26891,0.328,0.422,0.139,,,,,,,,,,,,,,
142,3,Western Province,31,Karongi,3107,Murundi,3.401983956,27977,0.43,0.435,0.187,,,,,,,,,,,,,,
143,3,Western Province,31,Karongi,3108,Mutuntu,5.44955757,24001,0.475,0.452,0.215,,,,,,,,,,,,,,
144,3,Western Province,31,Karongi,3109,Rubengera,36.57150762,37780,0.34,0.441,0.15,,,,,,,,,,,,,,
145,3,Western Province,31,Karongi,3110,Rugabano,4.069790579,30163,0.461,0.436,0.201,,,,,,,,,,,,,,
146,3,Western Province,31,Karongi,3111,Ruganda,2.329337936,21387,0.335,0.443,0.148,,,,,,,,,,,,,,
147,3,Western Province,31,Karongi,3112,Rwankuba,7.961230621,44174,0.523,0.443,0.232,,,,,,,,,,,,,,
148,3,Western Province,31,Karongi,3113,Twumba,3.59714425,27730,0.442,0.443,0.196,,,,,,,,,,,,,,
149,3,Western Province,32,Rutsiro,3201,Boneza,1.525454873,21723,0.431,0.444,0.191,,,,,,,,,,,,,,
150,3,Western Province,32,Rutsiro,3202,Gihango,13.07572694,23405,0.356,0.453,0.161,,,,,,,,,,,,,,
151,3,Western Province,32,Rutsiro,3203,Kigeyo,2.222027901,25136,0.458,0.445,0.204,,,,,,,,,,,,,,
152,3,Western Province,32,Rutsiro,3204,Kivumu,4.901658618,32710,0.502,0.446,0.224,,,,,,,,,,,,,,
153,3,Western Province,32,Rutsiro,3205,Manihira,2.023665441,15490,0.473,0.458,0.217,,,,,,,,,,,,,,
